CountryCode;YearCode;GDP_growth
POL;[YR2007];7.06
POL;[YR2008];4.20
POL;[YR2009];2.83
POL;[YR2010];2.93
POL;[YR2011];5.04
POL;[YR2012];1.55
POL;[YR2013];0.86
POL;[YR2014];3.84
POL;[YR2015];4.38
POL;[YR2016];2.95
POL;[YR2017];5.14
POL;[YR2018];5.95
POL;[YR2019];4.45
POL;[YR2020];-2.02
POL;[YR2021];6.85
POL;[YR2022];..
GBR;[YR2007];2.56
GBR;[YR2008];-0.15
GBR;[YR2009];-4.51
GBR;[YR2010];2.43
GBR;[YR2011];1.07
GBR;[YR2012];1.45
GBR;[YR2013];1.82
GBR;[YR2014];3.20
GBR;[YR2015];2.39
GBR;[YR2016];2.17
GBR;[YR2017];2.44
GBR;[YR2018];1.71
GBR;[YR2019];1.60
GBR;[YR2020];-11.03
GBR;[YR2021];7.52
GBR;[YR2022];..
DNK;[YR2007];0.91
DNK;[YR2008];-0.51
DNK;[YR2009];-4.91
DNK;[YR2010];1.87
DNK;[YR2011];1.34
DNK;[YR2012];0.23
DNK;[YR2013];0.93
DNK;[YR2014];1.62
DNK;[YR2015];2.34
DNK;[YR2016];3.25
DNK;[YR2017];2.82
DNK;[YR2018];1.99
DNK;[YR2019];1.49
DNK;[YR2020];-1.99
DNK;[YR2021];4.86
DNK;[YR2022];..
NLD;[YR2007];3.77
NLD;[YR2008];2.17
NLD;[YR2009];-3.67
NLD;[YR2010];1.34
NLD;[YR2011];1.55
NLD;[YR2012];-1.03
NLD;[YR2013];-0.13
NLD;[YR2014];1.42
NLD;[YR2015];1.96
NLD;[YR2016];2.19
NLD;[YR2017];2.91
NLD;[YR2018];2.36
NLD;[YR2019];1.96
NLD;[YR2020];-3.89
NLD;[YR2021];4.86
NLD;[YR2022];..
SVK;[YR2007];10.83
SVK;[YR2008];5.57
SVK;[YR2009];-5.46
SVK;[YR2010];6.72
SVK;[YR2011];2.67
SVK;[YR2012];1.32
SVK;[YR2013];0.63
SVK;[YR2014];2.70
SVK;[YR2015];5.17
SVK;[YR2016];1.94
SVK;[YR2017];2.94
SVK;[YR2018];4.03
SVK;[YR2019];2.52
SVK;[YR2020];-3.37
SVK;[YR2021];3.01
SVK;[YR2022];..
