CountryCode;YearCode;Industry
POL;[YR2007];8.846189653
POL;[YR2008];4.887177121
POL;[YR2009];3.118992196
POL;[YR2010];9.766980427
POL;[YR2011];9.529496007
POL;[YR2012];0.556493453
POL;[YR2013];-2.519895739
POL;[YR2014];7.393979569
POL;[YR2015];5.953176624
POL;[YR2016];2.142434645
POL;[YR2017];1.167453367
POL;[YR2018];5.794981142
POL;[YR2019];3.430543228
POL;[YR2020];-4.499206645
POL;[YR2021];3.356683165
POL;[YR2022];0
GBR;[YR2007];-1.600969222
GBR;[YR2008];-2.970382325
GBR;[YR2009];-8.807279652
GBR;[YR2010];2.229993871
GBR;[YR2011];-3.052967841
GBR;[YR2012];-0.373802362
GBR;[YR2013];2.889917096
GBR;[YR2014];2.384555676
GBR;[YR2015];4.755249989
GBR;[YR2016];-0.020922812
GBR;[YR2017];1.158166414
GBR;[YR2018];1.794476388
GBR;[YR2019];2.089229181
GBR;[YR2020];-3.141194102
GBR;[YR2021];9.121388547
GBR;[YR2022];0
NLD;[YR2007];4.31766294
NLD;[YR2008];2.032380162
NLD;[YR2009];-7.899120866
NLD;[YR2010];1.55149117
NLD;[YR2011];1.660383162
NLD;[YR2012];-2.341924504
NLD;[YR2013];0.028241111
NLD;[YR2014];-0.27620094
NLD;[YR2015];0.195948414
NLD;[YR2016];2.304657927
NLD;[YR2017];4.644470583
NLD;[YR2018];2.854683798
NLD;[YR2019];1.021496037
NLD;[YR2020];-2.09487432
NLD;[YR2021];4.933137958
NLD;[YR2022];0
DNK;[YR2007];-2.476355709
DNK;[YR2008];-1.214600282
DNK;[YR2009];-10.59174975
DNK;[YR2010];0.151132034
DNK;[YR2011];2.750127538
DNK;[YR2012];1.600502348
DNK;[YR2013];-1.266437636
DNK;[YR2014];0.451923792
DNK;[YR2015];1.446234243
DNK;[YR2016];5.777910451
DNK;[YR2017];5.965406834
DNK;[YR2018];0.96605222
DNK;[YR2019];1.610809803
DNK;[YR2020];-3.108642023
DNK;[YR2021];5.246295907
DNK;[YR2022];0
SVK;[YR2007];10.90516867
SVK;[YR2008];5.996050663
SVK;[YR2009];-13.04476511
SVK;[YR2010];12.24575376
SVK;[YR2011];3.084392427
SVK;[YR2012];2.222779628
SVK;[YR2013];-5.503737169
SVK;[YR2014];13.54367593
SVK;[YR2015];8.024394535
SVK;[YR2016];-1.001803027
SVK;[YR2017];1.476427562
SVK;[YR2018];6.990250673
SVK;[YR2019];3.913842601
SVK;[YR2020];-12.56018737
SVK;[YR2021];2.455218034
SVK;[YR2022];0
